phi,consumption_rate,provision_rate,excess_consumption,greedy_one_sided_fraction,stochastic_one_sided_fraction
0.0,0.0,27.2,-27.2,0.0177187153931339,0.0177187153931339
0.05,4.236111111111112,26.84,-22.60388888888889,0.0132890365448504,0.0143964562569213
0.1,8.472222222222223,26.48,-18.007777777777775,0.0387596899224806,0.0276854928017718
0.2,16.944444444444446,25.759999999999998,-8.815555555555552,0.0055370985603543,0.0221483942414174
0.3,25.41666666666667,25.04,0.37666666666667226,0.150609080841639,0.2414174972314507
0.4,33.88888888888889,24.32,9.568888888888893,0.5160575858250277,0.5282392026578072
0.5,42.361111111111114,23.6,18.761111111111113,0.0,0.0110741971207087
